team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
RaiFC,Goalkeeper,Levante,Pablo Campos,13,0,3360000,30000,Fit,2,6.5,9,9.0,4,4.0
RaiFC,Goalkeeper,Rayo Vallecano,Batalla,9,0,4540000,0,Fit,2,4.5,0,0.0,9,4.5
RaiFC,Defender,Getafe,Djene,11,0,3100000,20000,Fit,2,5.5,0,0.0,11,5.5
RaiFC,Defender/Midfielder,Real Madrid,Alvaro Carreras,8,0,6340000,30000,Fit,2,4.0,5,5.0,3,3.0
RaiFC,Defender,Atletico,Le Normand,4,0,3750000,30000,Fit,2,2.0,3,3.0,1,1.0
RaiFC,Midfielder,Villarreal,Pape Gueye,26,0,7160000,170000,Fit,2,13.0,26,13.0,0,0.0
RaiFC,Midfielder/Forward,Betis,Fornals,14,0,4900000,40000,Fit,3,4.7,5,5.0,9,4.5
RaiFC,Midfielder/Forward,Betis,Roro Riquelme,11,0,5570000,70000,Fit,3,3.7,2,2.0,9,4.5
RaiFC,Midfielder,Rayo Vallecano,Unai Lopez,10,0,2170000,60000,Fit,2,5.0,0,0.0,10,5.0
RaiFC,Midfielder,Osasuna,Aimar Oroz,8,0,5750000,10000,Fit,2,4.0,7,7.0,1,1.0
RaiFC,Forward,Barcelona,Ferran Torres,20,0,6580000,160000,Fit,2,10.0,0,0.0,20,10.0
RaiFC,Forward,Levante,Ivan Romero,20,0,2540000,260000,Fit,2,10.0,14,14.0,6,6.0
RaiFC,Forward,Real Madrid,Vinicius Jr,18,0,15240000,70000,Fit,2,9.0,4,4.0,14,14.0
RaiFC,Forward,Real Sociedad,Oyarzabal,10,0,7170000,10000,Fit,2,5.0,5,5.0,5,5.0
RaiFC,Forward,Espanyol,Roberto Fernandez,8,0,4020000,10000,Fit,2,4.0,3,3.0,5,5.0
RaiFC,Coach,Atletico,Simeone,1,0,2860000,0,Fit,2,0.5,1,1.0,0,0.0
