team,team_id,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Manchester Tity,Manchester_Tity,Goalkeeper,Espanyol,Dmitrovic,29,0,4780000,10000.0,Fit,5,5.8,13,4.3,16,8.0
Manchester Tity,Manchester_Tity,Goalkeeper,Espanyol,Fortuno,0,8,150000,0.0,Fit,0,0.0,0,0.0,0,0.0
Manchester Tity,Manchester_Tity,Defender,Barcelona,Espart,35,0,5050000,220000.0,Fit,5,7.0,10,5.0,25,8.3
Manchester Tity,Manchester_Tity,Defender,Levante,Mandi,22,0,2890000,40000.0,Fit,5,4.4,7,3.5,15,5.0
Manchester Tity,Manchester_Tity,Defender,Real Sociedad,Mamadou Sarr,9,0,2500000,-10000.0,Fit,2,4.5,5,5.0,4,4.0
Manchester Tity,Manchester_Tity,Defender,Betis,Angel Ortiz,4,0,180000,0.0,Fit,1,4.0,0,0.0,4,4.0
Manchester Tity,Manchester_Tity,Defender,Malaga,Moussa Diarra,0,0,150000,0.0,Injured. Muscle injury. Estimated return: Indefinite return.,0,0.0,0,0.0,0,0.0
Manchester Tity,Manchester_Tity,Midfielder,Levante,Olasagasti,32,0,3400000,50000.0,Fit,5,6.4,19,9.5,13,4.3
Manchester Tity,Manchester_Tity,Midfielder,Elche,Javi Morcillo,10,0,370000,20000.0,Fit,4,2.5,2,2.0,8,2.7
Manchester Tity,Manchester_Tity,Midfielder/Defender,Getafe,Gudelj,7,0,1670000,10000.0,Fit,3,2.3,4,2.0,3,3.0
Manchester Tity,Manchester_Tity,Forward,Barcelona,Yamal,62,0,21910000,90000.0,Fit,5,12.4,25,12.5,37,12.3
Manchester Tity,Manchester_Tity,Forward,Barcelona,Adeyemi,38,0,8350000,110000.0,Fit,5,7.6,10,5.0,28,9.3
Manchester Tity,Manchester_Tity,Forward,Villarreal,Mikautadze,22,0,9280000,-140000.0,Fit,5,4.4,5,2.5,17,5.7
Manchester Tity,Manchester_Tity,Forward,Barcelona,Bisiwu,0,0,340000,-10000.0,Fit,0,0.0,0,0.0,0,0.0
