team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
CD Numancia,Porter,Atletico,Oblak,0,161,5.680.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Porter,Valencia,Agirrezabala,0,58,4.830.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Porter,Alaves,Sivera,0,160,4.400.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Rayo Vallecano,Lejeune,0,212,5.340.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Mallorca,Raillo,0,196,5.170.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Celta,Marcos Alonso,0,162,4.450.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Celta,Starfelt,0,131,2.840.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Sevilla,Carmona,0,130,2.310.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Levante,De La Fuente,0,0,2.010.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Alaves,Facundo Garces,0,37,1.930.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Real Oviedo,Alhassane,0,0,1.600.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Levante,Cabello,0,0,170.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista/Davanter,Atletico,Baena,0,246,13.570.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista,Celta,Ilaix Moriba,0,144,3.880.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista,Athletic,De Galarreta,0,120,3.560.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista,Mallorca,Morlanes,0,94,1.400.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista/Defensa,Osasuna,Iker Benito,0,4,150.000,0,Lesionat. Lesió lligamentosa al turmell esquerre sense lesió òssia associada. Tornada estimada: Finals d'agost.,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Celta,Jutgla,0,0,5.740.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter/Migcampista,Rayo Vallecano,Isi Palazon,0,164,4.500.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Villarreal,Etta Eyong,0,16,4.000.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Celta,Borja Iglesias,0,186,3.310.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter/Migcampista,Elche,German Valera,0,18,1.220.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Mallorca,Mateo Joseph,0,0,920.000,140.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Entrenador,Villarreal,Marcelino,0,70,2.370.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
