team,team_id,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Hernan Krezzpo,Hernan_Krezzpo,Goalkeeper,Athletic,Unai Simon,30,0,5220000,10000.0,Fit,6,5.0,11,2.8,19,9.5
Hernan Krezzpo,Hernan_Krezzpo,Goalkeeper,Malaga,Carlos Lopez,0,0,150000,0.0,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Hernan_Krezzpo,Defender,Levante,De La Fuente,33,0,4270000,50000.0,Fit,5,6.6,16,8.0,17,5.7
Hernan Krezzpo,Hernan_Krezzpo,Defender/Midfielder,Barcelona,Eric Garcia,26,0,7100000,-60000.0,Fit,6,4.3,12,6.0,14,3.5
Hernan Krezzpo,Hernan_Krezzpo,Defender,Racing,Jorge Salinas,18,0,2750000,-30000.0,Fit,7,2.6,14,4.7,4,1.0
Hernan Krezzpo,Hernan_Krezzpo,Defender,Real Sociedad,Hector Fort,3,0,1900000,-20000.0,Fit,1,3.0,0,0.0,3,3.0
Hernan Krezzpo,Hernan_Krezzpo,Midfielder,Barcelona,Pedri,50,0,15940000,30000.0,Fit,7,7.1,22,7.3,28,7.0
Hernan Krezzpo,Hernan_Krezzpo,Midfielder,Sevilla,Agoume,36,0,3650000,30000.0,Fit,7,5.1,18,4.5,18,6.0
Hernan Krezzpo,Hernan_Krezzpo,Midfielder,Elche,Gonzalo Villar,31,0,2930000,50000.0,Fit,7,4.4,10,3.3,21,5.3
Hernan Krezzpo,Hernan_Krezzpo,Midfielder/Defender,Rayo Vallecano,Pathe Ciss,27,0,3050000,60000.0,One yellow card away from suspension,7,3.9,14,4.7,13,3.3
Hernan Krezzpo,Hernan_Krezzpo,Midfielder,Betis,Isco,24,0,8000000,60000.0,Fit,6,4.0,14,4.7,10,3.3
Hernan Krezzpo,Hernan_Krezzpo,Forward,Rayo Vallecano,Camello,75,0,7520000,320000.0,Fit,7,10.7,36,12.0,39,9.8
Hernan Krezzpo,Hernan_Krezzpo,Forward/Midfielder,Deportivo,Luismi Cruz,32,0,3490000,40000.0,Fit,6,5.3,10,3.3,22,7.3
Hernan Krezzpo,Hernan_Krezzpo,Forward/Midfielder,Real Sociedad,Ochieng,18,0,1450000,-30000.0,Fit,3,6.0,1,1.0,17,8.5
Hernan Krezzpo,Hernan_Krezzpo,Coach,Sevilla,Luis Garcia,13,0,1030000,20000.0,Fit,7,1.9,6,1.5,7,2.3
