team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Patsi F.C,Goalkeeper,Barcelona,Joan Garcia,15,0,8470000,20000,Fit,2,7.5,0,0.0,15,7.5
Patsi F.C,Goalkeeper,Athletic,Unai Simon,8,0,5680000,20000,Fit,2,4.0,8,4.0,0,0.0
Patsi F.C,Defender,Villarreal,Sergi Cardona,15,0,5350000,60000,Fit,2,7.5,15,7.5,0,0.0
Patsi F.C,Defender,Alaves,Jonny Castro,14,0,2880000,40000,Fit,3,4.7,8,4.0,6,6.0
Patsi F.C,Defender,Real Madrid,Militão,11,0,5130000,10000,Fit,2,5.5,11,5.5,0,0.0
Patsi F.C,Defender,Getafe,Diego Rico,10,0,3070000,50000,Fit,3,3.3,0,0.0,10,3.3
Patsi F.C,Defender,Rayo Vallecano,Chavarria,8,0,2880000,20000,Fit,2,4.0,0,0.0,8,4.0
Patsi F.C,Defender,Valencia,Foulquier,8,0,1550000,10000,Fit,3,2.7,6,3.0,2,2.0
Patsi F.C,Defender,Real Madrid,Rudiger,6,0,3300000,20000,Fit,1,6.0,0,0.0,6,6.0
Patsi F.C,Defender,Villarreal,Renato Veiga,3,0,3330000,30000,Fit,1,3.0,3,3.0,0,0.0
Patsi F.C,Midfielder,Sevilla,Agoume,21,0,3740000,40000,Fit,3,7.0,4,4.0,17,8.5
Patsi F.C,Midfielder/Forward,Real Sociedad,Barrenetxea,19,0,3180000,50000,Fit,3,6.3,12,12.0,7,3.5
Patsi F.C,Midfielder,Mallorca,Darder,12,0,4250000,10000,Fit,3,4.0,6,3.0,6,6.0
Patsi F.C,Midfielder,Real Sociedad,Pablo Marin,9,0,2520000,0,Fit,3,3.0,2,2.0,7,3.5
Patsi F.C,Midfielder,Rayo Vallecano,Pedro Diaz,6,0,3080000,30000,Fit,2,3.0,0,0.0,6,3.0
Patsi F.C,Midfielder,Mallorca,Mascarell,6,0,630000,0,Fit,2,3.0,6,3.0,0,0.0
Patsi F.C,Forward/Midfielder,Valencia,Diego Lopez,15,0,5410000,0,Fit,3,5.0,12,6.0,3,3.0
Patsi F.C,Forward/Midfielder,Espanyol,Puado,13,0,6570000,40000,Fit,2,6.5,4,4.0,9,9.0
Patsi F.C,Forward,Atletico,Julian Alvarez,11,0,15260000,170000,Fit,3,3.7,2,2.0,9,4.5
Patsi F.C,Forward/Midfielder,Sevilla,Ejuke,10,0,2050000,10000,Doubtful. Muscle injury.,3,3.3,3,3.0,7,3.5
Patsi F.C,Forward/Midfielder,Levante,Carlos Alvarez,6,0,2490000,30000,Fit,3,2.0,2,2.0,4,2.0
Patsi F.C,Forward/Midfielder,Atletico,Carlos Martin,0,88,330000,0,Fit,0,0.0,0,0.0,0,0.0
