txn_key,txn_date,player_id,player_name,player_position,player_price,price_change,winner_id,winner_name,winning_amount,num_bidders,bidder_id,bidder_name,bid_amount,is_winner,bid_rank,scraped_at
15464:11457758:877240,1787720565,15464,Diakhaby,DEF,850000.0,50000.0,11457758,RaiFC,877240.0,1,11457758,RaiFC,877240.0,1,0,2026-08-26 16:14:02
38493:9892417:4050030,1787720565,38493,Renato Veiga,DEF,4050000.0,20000.0,9892417,CD Numancia,4050030.0,1,9892417,CD Numancia,4050030.0,1,0,2026-08-26 16:14:02
21132:1792970:2868000,1787720565,21132,Fer Niño,FWD,2700000.0,-40000.0,1792970,Manchester Tity,2868000.0,1,1792970,Manchester Tity,2868000.0,1,0,2026-08-26 16:14:02
42328:9892417:150020,1787720565,42328,Moussa Diarra,DEF,150000.0,0.0,9892417,CD Numancia,150020.0,1,9892417,CD Numancia,150020.0,1,0,2026-08-26 16:14:02
34479:14001537:10802680,1787375090,34479,Pépé,FWD,10280000.0,100000.0,14001537,The National,10802680.0,5,14001537,The National,10802680.0,1,0,2026-08-25 16:36:01
34479:14001537:10802680,1787375090,34479,Pépé,FWD,10280000.0,100000.0,14001537,The National,10802680.0,5,9892417,CD Numancia,10600999.0,0,1,2026-08-25 16:36:01
34479:14001537:10802680,1787375090,34479,Pépé,FWD,10280000.0,100000.0,14001537,The National,10802680.0,5,1715607,"General ""Hansi” Topete",10451810.0,0,2,2026-08-25 16:36:01
34479:14001537:10802680,1787375090,34479,Pépé,FWD,10280000.0,100000.0,14001537,The National,10802680.0,5,11458371,Minabo de Kiev,10385009.0,0,3,2026-08-25 16:36:01
34479:14001537:10802680,1787375090,34479,Pépé,FWD,10280000.0,100000.0,14001537,The National,10802680.0,5,12617705,FerranGoaT,10222020.0,0,4,2026-08-25 16:36:01
42370:14001537:2386940,1787375090,42370,Facundo Bernal,MID,2400000.0,20000.0,14001537,The National,2386940.0,1,14001537,The National,2386940.0,1,0,2026-08-25 16:36:01
25815:1715607:518500,1787375090,25815,Nacho Pérez,DEF,390000.0,50000.0,1715607,"General ""Hansi” Topete",518500.0,4,1715607,"General ""Hansi” Topete",518500.0,1,0,2026-08-25 16:36:01
25815:1715607:518500,1787375090,25815,Nacho Pérez,DEF,390000.0,50000.0,1715607,"General ""Hansi” Topete",518500.0,4,9892417,CD Numancia,500090.0,0,1,2026-08-25 16:36:01
25815:1715607:518500,1787375090,25815,Nacho Pérez,DEF,390000.0,50000.0,1715607,"General ""Hansi” Topete",518500.0,4,14001537,The National,371570.0,0,2,2026-08-25 16:36:01
25815:1715607:518500,1787375090,25815,Nacho Pérez,DEF,390000.0,50000.0,1715607,"General ""Hansi” Topete",518500.0,4,11457758,RaiFC,342440.0,0,3,2026-08-25 16:36:01
30510:12616837:1360000,1787375090,30510,Abde Rebbach,FWD,1320000.0,20000.0,12616837,Hernan Krezzpo,1360000.0,2,12616837,Hernan Krezzpo,1360000.0,1,0,2026-08-25 16:36:01
30510:12616837:1360000,1787375090,30510,Abde Rebbach,FWD,1320000.0,20000.0,12616837,Hernan Krezzpo,1360000.0,2,14001537,The National,1311020.0,0,1,2026-08-25 16:36:01
12221:7745504:2900000,1787375090,12221,Pepelu,MID,2680000.0,-10000.0,7745504,Patsi F.C,2900000.0,2,7745504,Patsi F.C,2900000.0,1,0,2026-08-25 16:36:01
12221:7745504:2900000,1787375090,12221,Pepelu,MID,2680000.0,-10000.0,7745504,Patsi F.C,2900000.0,2,12616837,Hernan Krezzpo,2690000.0,0,1,2026-08-25 16:36:01
24576:7745504:4100000,1787375090,24576,Sørloth,FWD,3920000.0,-50000.0,7745504,Patsi F.C,4100000.0,1,7745504,Patsi F.C,4100000.0,1,0,2026-08-25 16:36:01
21084:12616837:2430000,1787375090,21084,Ilaix Moriba,MID,2420000.0,-10000.0,12616837,Hernan Krezzpo,2430000.0,1,12616837,Hernan Krezzpo,2430000.0,1,0,2026-08-25 16:36:01
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,9892417,CD Numancia,11000111.0,1,0,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,1715607,"General ""Hansi” Topete",10463900.0,0,1,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,11457758,RaiFC,9932800.0,0,2,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,12616837,Hernan Krezzpo,9670000.0,0,3,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,1792970,Manchester Tity,9388888.0,0,4,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,14001537,The National,9297270.0,0,5,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,11458371,Minabo de Kiev,9152808.0,0,6,2026-08-27 10:39:59
25769:9892417:11000111,1787806890,25769,Aubameyang,FWD,9070000.0,190000.0,9892417,CD Numancia,11000111.0,8,1716474,Locombia FC,9142890.0,0,7,2026-08-27 10:39:59
16889:14001537:442840,1787806890,16889,Pedrosa,DEF,290000.0,10000.0,14001537,The National,442840.0,1,14001537,The National,442840.0,1,0,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,1716474,Locombia FC,2586320.0,1,0,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,1715607,"General ""Hansi” Topete",2116510.0,0,1,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,9892417,CD Numancia,2000999.0,0,2,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,12616837,Hernan Krezzpo,1777000.0,0,3,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,14001537,The National,1771580.0,0,4,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,1792970,Manchester Tity,1688000.0,0,5,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,11458371,Minabo de Kiev,1625008.0,0,6,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,11457758,RaiFC,1555280.0,0,7,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,7745504,Patsi F.C,1550000.0,0,8,2026-08-27 10:39:59
33531:1716474:2586320,1787806890,33531,Ejuke,FWD,1520000.0,150000.0,1716474,Locombia FC,2586320.0,10,12617705,FreeJulian,1505990.0,0,9,2026-08-27 10:39:59
41253:14001537:700010,1787806890,41253,Ramis,,700000.0,0.0,14001537,The National,700010.0,1,14001537,The National,700010.0,1,0,2026-08-27 10:39:59
35344:14001537:3185080,1787806890,35344,Buchanan,MID,3080000.0,-10000.0,14001537,The National,3185080.0,2,14001537,The National,3185080.0,1,0,2026-08-27 10:39:59
35344:14001537:3185080,1787806890,35344,Buchanan,MID,3080000.0,-10000.0,14001537,The National,3185080.0,2,12617705,FreeJulian,3090240.0,0,1,2026-08-27 10:39:59
41084:9892417:150030,1787893349,41084,Eric Puerto,GK,150000.0,0.0,9892417,CD Numancia,150030.0,1,9892417,CD Numancia,150030.0,1,0,2026-08-28 09:26:52
3159:12617705:4026500,1787893349,3159,Jutglà,FWD,3830000.0,-80000.0,12617705,FreeJulian,4026500.0,1,12617705,FreeJulian,4026500.0,1,0,2026-08-28 09:26:52
1602:14001537:2751230,1787893349,1602,Rubén García,MID,2710000.0,10000.0,14001537,The National,2751230.0,2,14001537,The National,2751230.0,1,0,2026-08-28 09:26:52
1602:14001537:2751230,1787893349,1602,Rubén García,MID,2710000.0,10000.0,14001537,The National,2751230.0,2,9892417,CD Numancia,2710110.0,0,1,2026-08-28 09:26:52
38308:1792970:3389000,1787893349,38308,Dolan,FWD,3080000.0,20000.0,1792970,Manchester Tity,3389000.0,3,1792970,Manchester Tity,3389000.0,1,0,2026-08-28 09:26:52
38308:1792970:3389000,1787893349,38308,Dolan,FWD,3080000.0,20000.0,1792970,Manchester Tity,3389000.0,3,11458371,Minabo de Kiev,3298008.0,0,1,2026-08-28 09:26:52
38308:1792970:3389000,1787893349,38308,Dolan,FWD,3080000.0,20000.0,1792970,Manchester Tity,3389000.0,3,11457758,RaiFC,3060030.0,0,2,2026-08-28 09:26:52
35765:1792970:211110,1787893349,35765,Angel Ortiz,DEF,170000.0,10000.0,1792970,Manchester Tity,211110.0,2,1792970,Manchester Tity,211110.0,1,0,2026-08-28 09:26:52
35765:1792970:211110,1787893349,35765,Angel Ortiz,DEF,170000.0,10000.0,1792970,Manchester Tity,211110.0,2,12617705,FreeJulian,200710.0,0,1,2026-08-28 09:26:52
39804:1792970:3499000,1787893349,39804,Zaid Romero,DEF,3430000.0,-30000.0,1792970,Manchester Tity,3499000.0,1,1792970,Manchester Tity,3499000.0,1,0,2026-08-28 09:26:52
42794:7745504:380000,1787979670,42794,Van Oevelen,GK,370000.0,-10000.0,7745504,Patsi F.C,380000.0,1,7745504,Patsi F.C,380000.0,1,0,2026-08-29 06:35:55
9090:1792970:4968000,1787979670,9090,Dmitrovic,GK,4690000.0,0.0,1792970,Manchester Tity,4968000.0,2,1792970,Manchester Tity,4968000.0,1,0,2026-08-29 06:35:55
9090:1792970:4968000,1787979670,9090,Dmitrovic,GK,4690000.0,0.0,1792970,Manchester Tity,4968000.0,2,7745504,Patsi F.C,4690000.0,0,1,2026-08-29 06:35:55
14800:11457758:2040050,1787979670,14800,Pablo Ibáñez,MID,2040000.0,0.0,11457758,RaiFC,2040050.0,2,11457758,RaiFC,2040050.0,1,0,2026-08-29 06:35:55
14800:11457758:2040050,1787979670,14800,Pablo Ibáñez,MID,2040000.0,0.0,11457758,RaiFC,2040050.0,2,7745504,Patsi F.C,2040000.0,0,1,2026-08-29 06:35:55
42395:7745504:1350000,1787979670,42395,Bright Ede,DEF,1290000.0,-10000.0,7745504,Patsi F.C,1350000.0,1,7745504,Patsi F.C,1350000.0,1,0,2026-08-29 06:35:55
4070:7745504:1450000,1787979670,4070,Einar Galilea,DEF,1390000.0,0.0,7745504,Patsi F.C,1450000.0,2,7745504,Patsi F.C,1450000.0,1,0,2026-08-29 06:35:55
4070:7745504:1450000,1787979670,4070,Einar Galilea,DEF,1390000.0,0.0,7745504,Patsi F.C,1450000.0,2,9892417,CD Numancia,1400020.0,0,1,2026-08-29 06:35:55
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,9892417,CD Numancia,1300090.0,1,0,2026-08-30 06:36:46
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,1715607,"General ""Hansi” Topete",1268930.0,0,1,2026-08-30 06:36:46
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,7745504,Patsi F.C,1200000.0,0,2,2026-08-30 06:36:46
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,1792970,Manchester Tity,1188880.0,0,3,2026-08-30 06:36:46
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,11458371,Minabo de Kiev,1080588.0,0,4,2026-08-30 06:36:46
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,14001537,The National,1072250.0,0,5,2026-08-30 06:36:46
10292:9892417:1300090,1788066255,10292,Arguibide,DEF,1060000.0,140000.0,9892417,CD Numancia,1300090.0,7,11457758,RaiFC,955760.0,0,6,2026-08-30 06:36:46
31069:9892417:2350070,1788066255,31069,Mikel Rodriguez,MID,2220000.0,100000.0,9892417,CD Numancia,2350070.0,5,9892417,CD Numancia,2350070.0,1,0,2026-08-30 06:36:46
31069:9892417:2350070,1788066255,31069,Mikel Rodriguez,MID,2220000.0,100000.0,9892417,CD Numancia,2350070.0,5,1715607,"General ""Hansi” Topete",2276880.0,0,1,2026-08-30 06:36:46
31069:9892417:2350070,1788066255,31069,Mikel Rodriguez,MID,2220000.0,100000.0,9892417,CD Numancia,2350070.0,5,1792970,Manchester Tity,2268000.0,0,2,2026-08-30 06:36:46
31069:9892417:2350070,1788066255,31069,Mikel Rodriguez,MID,2220000.0,100000.0,9892417,CD Numancia,2350070.0,5,7745504,Patsi F.C,2222222.0,0,3,2026-08-30 06:36:46
31069:9892417:2350070,1788066255,31069,Mikel Rodriguez,MID,2220000.0,100000.0,9892417,CD Numancia,2350070.0,5,11457758,RaiFC,2147000.0,0,4,2026-08-30 06:36:46
30334:1792970:152000,1788066255,30334,Fortuño,GK,150000.0,0.0,1792970,Manchester Tity,152000.0,1,1792970,Manchester Tity,152000.0,1,0,2026-08-30 06:36:46
23840:11458371:3299088,1788066255,23840,Juan Iglesias,DEF,3200000.0,10000.0,11458371,Minabo de Kiev,3299088.0,1,11458371,Minabo de Kiev,3299088.0,1,0,2026-08-30 06:36:46
35055:11457758:2971510,1788152839,35055,Óskarsson,FWD,2830000.0,80000.0,11457758,RaiFC,2971510.0,4,11457758,RaiFC,2971510.0,1,0,2026-08-31 06:50:36
35055:11457758:2971510,1788152839,35055,Óskarsson,FWD,2830000.0,80000.0,11457758,RaiFC,2971510.0,4,9892417,CD Numancia,2900030.0,0,1,2026-08-31 06:50:36
35055:11457758:2971510,1788152839,35055,Óskarsson,FWD,2830000.0,80000.0,11457758,RaiFC,2971510.0,4,14001537,The National,2751330.0,0,2,2026-08-31 06:50:36
35055:11457758:2971510,1788152839,35055,Óskarsson,FWD,2830000.0,80000.0,11457758,RaiFC,2971510.0,4,7745504,Patsi F.C,2750000.0,0,3,2026-08-31 06:50:36
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,1716474,Locombia FC,3640520.0,1,0,2026-08-31 06:50:36
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,14001537,The National,3525260.0,0,1,2026-08-31 06:50:36
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,12617705,FreeJulian,3400000.0,0,2,2026-08-31 06:50:36
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,9892417,CD Numancia,3300090.0,0,3,2026-08-31 06:50:36
